Index	Seller_Name	Seller_ID	Base_Price	Shipping	CALC_Total_Price	Created_At	Condition	CALC_Has_Shopback	CALC_Has_Cashrewards	Seller_URL	Product_URL	Offer_ID	PID	Country_Code	Shopback_ID	Shopback_Name	Shopback_URL	Shopback_Commission	Shopback_Created_At	Shopback_Updated_At	Shopback_Hostname	Cashrewards_ID	Cashrewards_Name	Cashrewards_Commission_String	Cashrewards_Commission	Cashrewards_Hyphenated_Name	Cashrewards_Logo	Cashrewards_Online	Cashrewards_Instore	Cashrewards_Hostname	Cashrewards_Created_At	Cashrewards_Updated_At
57	eBay - popphones	1109779110	295	0	295.00	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/376361604359	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
58	eBay - stormcomputersptyltd	1655089633	302.28	0	302.28	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/277184333679	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
59	eBay - pcmeal	2034664409	311	0	311.00	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/365815934673	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
60	eBay - dicksmithau	346879365	269	0	269.00	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/197594513274	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
61	eBay	1042295139	439.4	0	439.40	$D2025-10-01T10:14:05.777Z	new	False	False	www.ebay.com.au	https://www.ebay.com.au/itm/306455086973	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
62	LWT	555296346	260.7	0	260.70	$D2025-10-01T10:14:05.777Z	new	False	False	www.lwt.com.au	https://www.lwt.com.au/Product/MOT5633140/PB5U0017AU/MOTOROLA-G55-4-128GB-FOREST-GREY-MOBILE-PHONE	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
63	Lasoo	6823	332.7	0	332.70	$D2025-10-01T10:14:05.777Z	new	False	False	www.lasoo.com.au	https://www.lasoo.com.au/products/personal-digital/1716984/motorola-g55-5g-dual-sim-4gb128gb-forest-grey	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
64	TechBuy.com.au	66887907	279	0	279.00	$D2025-10-01T10:14:05.777Z	new	False	False	www.techbuy.com.au	https://www.techbuy.com.au/p/552141/MOBILE_PHONES_ANDROID_PHONES/Motorola/PB5U0017AU.asp	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
65	MightyApe.com.au	209	347.99	0	347.99	$D2025-10-01T10:14:05.777Z	new	False	False	www.mightyape.com.au	https://www.mightyape.com.au/ma/buy/motorola-moto-g85-5g-67-dual-sim-128gb8gb-cobalt-blue-00840023263934/	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
66	eBay - allphones_online	1877234208	319.65	0	319.65	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/167055760360	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
