Index	Seller_Name	Seller_ID	Base_Price	Shipping	CALC_Total_Price	Created_At	Condition	CALC_Has_Shopback	CALC_Has_Cashrewards	Seller_URL	Product_URL	Offer_ID	PID	Country_Code	Shopback_ID	Shopback_Name	Shopback_URL	Shopback_Commission	Shopback_Created_At	Shopback_Updated_At	Shopback_Hostname	Cashrewards_ID	Cashrewards_Name	Cashrewards_Commission_String	Cashrewards_Commission	Cashrewards_Hyphenated_Name	Cashrewards_Logo	Cashrewards_Online	Cashrewards_Instore	Cashrewards_Hostname	Cashrewards_Created_At	Cashrewards_Updated_At
41	Mobileciti	202	438	0	438.00	$D2025-10-01T20:23:53.181Z	new	True	True	www.mobileciti.com.au	https://www.mobileciti.com.au/motorola-moto-g75-5g-w-moto-buds-dual-sim-256gb-8gb-6-8-grey	None	83429707	None	8410	Mobileciti	www.shopback.com.au/mobileciti	Up to 2.10% Cashback	$D2023-08-01T09:56:13.775Z	None	mobileciti.com.au	1005098	Mobileciti	Up to 2.2% cashback	2.2	mobileciti	//cdn.cashrewards.com/mobileciti.jpg?t=637765071372444088	True	False	mobileciti.com.au	$D2023-07-30T11:50:50.100Z	None
42	Kogan.com	103	429.67	0	429.67	$D2025-10-01T20:23:53.181Z	new	False	False	www.kogan.com	https://www.kogan.com/au/buy/motorola-moto-g75-5g-bonus-moto-buds-dual-sim-256gb8gb-68-00840023276545/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
43	Woolworths	97	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.woolworths.com.au	https://www.woolworths.com.au/shop/productdetails/1122312605	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
44	Bunnings Warehouse	47	495.72	0	495.72	$D2025-10-01T20:23:53.181Z	new	False	False	www.bunnings.com.au	https://www.bunnings.com.au/motorola-moto-g75-5g-8gb-256gb-6-8-w-moto-buds-succulent-green_p0826318	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
45	BIG W	52	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	True	True	www.bigw.com.au	https://www.bigw.com.au/product/moto-g75-5g-256gb-grey-with-moto-buds/p/6001651	None	83429707	None	17706	Big W	www.shopback.com.au/bigw	Up to 4% Cashback	$D2023-08-01T09:56:13.775Z	$D2023-11-25T10:32:54.782Z	bigw.com.au	1004971	BIG W	Up to 2.4% cashback	2.4	big-w	//cdn.cashrewards.com/big-w.png?t=637690919703543365	True	False	bigw.com.au	$D2023-07-30T11:50:50.100Z	$D2023-11-30T03:50:38.698Z
46	Officeworks	57	497	0	497.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.officeworks.com.au	https://www.officeworks.com.au/shop/officeworks/p/moto-g75-5g-256gb-blue-with-buds-motog75ble	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
47	eBay - cardanostore	1126623789	468	0	468.00	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.ebay.com.au/itm/205620533586	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
48	Playthek.com	1790	373.008057	0	373.01	$D2025-09-28T22:34:51.002Z	new	False	False	www.playthek.com	https://www.playthek.com/motorola-moto-g75-256gb-grey-8gb-android-motorola-hardware-electronic-pZZa1-2101285609.html	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
49	Campbelltown Computer Repairs	1374	499	0	499.00	$D2025-09-28T22:34:51.002Z	new	False	False	campcomprep.com.au	https://campcomprep.com.au/product/motorola-g75-5g-256gb-with-moto-buds-aqua-blueau-stock6-8full-hd120hz8gb-256gb50mp-16mpsingle-esim5000mah2year-warranty/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
50	MPE Computers	1656034	438	0	438.00	$D2025-09-28T22:34:51.002Z	new	False	False	mpecomputers.com.au	https://mpecomputers.com.au/product/motorola-g75-5g-256gb-with-buds-aqua-blue6-8full-hd120hz256gb8gb-ramdual-sim50mp-16mpwater-protection5000mah-battery2year-warranty/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
